generation,average,median,best
0.0,0.14937142857142857,0.07523809523809524,0.6923809523809524
1.0,0.29296190476190476,0.28785714285714287,0.7395238095238095
2.0,0.43783809523809514,0.45999999999999996,0.8614285714285715
3.0,0.5627047619047619,0.5711904761904762,0.8919047619047619
4.0,0.6837333333333335,0.7004761904761905,0.9219047619047619
5.0,0.7317428571428571,0.8076190476190476,0.9519047619047619
6.0,0.7684000000000001,0.8147619047619048,0.96
7.0,0.8742380952380953,0.8895238095238095,0.9561904761904761
8.0,0.8827619047619046,0.9104761904761904,0.9714285714285714
9.0,0.9091619047619048,0.9130952380952382,0.9619047619047619
10.0,0.9173809523809524,0.9207142857142857,0.9623809523809523
11.0,0.924342857142857,0.9333333333333333,0.978095238095238
12.0,0.932142857142857,0.9366666666666665,0.9785714285714286
13.0,0.9358857142857143,0.9480952380952381,0.9766666666666666
14.0,0.9379047619047618,0.9388095238095238,0.98
15.0,0.9444380952380953,0.9492857142857143,0.9766666666666667
16.0,0.9401714285714284,0.9492857142857143,0.9733333333333333
17.0,0.9524095238095238,0.958095238095238,0.9833333333333334
18.0,0.9530857142857143,0.9561904761904763,0.9795238095238096
19.0,0.954847619047619,0.9566666666666668,0.9842857142857143
20.0,0.9575047619047617,0.9602380952380951,0.9842857142857143
21.0,0.9575714285714285,0.9588095238095238,0.9828571428571428
22.0,0.9558476190476191,0.9604761904761905,0.98
23.0,0.9566666666666666,0.9602380952380953,0.9871428571428572
24.0,0.9592190476190475,0.9616666666666667,0.9876190476190475
25.0,0.9507714285714286,0.9614285714285715,0.9838095238095238
26.0,0.9656095238095239,0.9664285714285714,0.9842857142857143
27.0,0.9555523809523809,0.960952380952381,0.9880952380952381
28.0,0.9572095238095238,0.962857142857143,0.981904761904762
29.0,0.9499714285714286,0.9607142857142857,0.9842857142857143
30.0,0.9587333333333333,0.9604761904761906,0.981904761904762
31.0,0.9557523809523809,0.959047619047619,0.9866666666666667
32.0,0.9609333333333335,0.9628571428571429,0.9871428571428571
33.0,0.9555714285714286,0.96,0.9785714285714286
34.0,0.9460666666666665,0.961904761904762,0.9823809523809524
35.0,0.9369428571428571,0.9630952380952382,0.9842857142857143
36.0,0.9623714285714284,0.9654761904761905,0.9814285714285714
37.0,0.9531238095238095,0.968095238095238,0.9842857142857143
38.0,0.9608285714285715,0.9657142857142857,0.9804761904761904
39.0,0.9593904761904761,0.9611904761904762,0.9852380952380951
40.0,0.9429714285714286,0.9645238095238096,0.9871428571428571
41.0,0.9601904761904764,0.9611904761904762,0.9828571428571428
42.0,0.9494190476190476,0.9626190476190477,0.9814285714285713
43.0,0.9505142857142858,0.9669047619047619,0.980952380952381
44.0,0.9340095238095238,0.960952380952381,0.9876190476190475
45.0,0.9545523809523808,0.9704761904761905,0.9857142857142858
46.0,0.9588000000000001,0.9645238095238096,0.9828571428571428
47.0,0.9571428571428572,0.9688095238095238,0.9861904761904761
48.0,0.9590666666666665,0.964047619047619,0.9909523809523809
49.0,0.9621619047619047,0.9654761904761904,0.9871428571428572
50.0,0.9472190476190476,0.9619047619047618,0.9861904761904762
51.0,0.9598952380952381,0.9638095238095238,0.9871428571428571
52.0,0.9626380952380953,0.964047619047619,0.9852380952380954
53.0,0.9588476190476188,0.9614285714285714,0.9833333333333333
54.0,0.9600095238095236,0.960952380952381,0.9828571428571428
55.0,0.9617428571428571,0.9647619047619048,0.9866666666666667
56.0,0.959304761904762,0.9638095238095239,0.9847619047619047
57.0,0.9632761904761904,0.9654761904761906,0.9871428571428571
58.0,0.9602190476190476,0.9642857142857143,0.9823809523809524
59.0,0.9457333333333334,0.9616666666666667,0.9866666666666667
60.0,0.9409523809523808,0.96,0.9847619047619047
61.0,0.9588571428571427,0.9592857142857143,0.9842857142857143
