generation,average,median,best
0.0,0.18162500000000004,0.10604166666666667,0.9070833333333334
1.0,0.25814166666666666,0.2029166666666667,0.9204166666666667
2.0,0.3876083333333334,0.3066666666666667,0.9541666666666666
3.0,0.46388333333333326,0.4239583333333333,0.9554166666666667
4.0,0.64535,0.6929166666666666,1.0
5.0,0.7870916666666666,0.9052083333333334,0.9866666666666667
6.0,0.8992249999999999,0.943125,0.9979166666666667
7.0,0.9472166666666666,0.9531250000000001,0.9987499999999999
8.0,0.9372916666666667,0.9637500000000001,1.0
9.0,0.9395833333333331,0.9858333333333333,1.0
10.0,0.9783999999999999,0.9952083333333335,1.0
11.0,0.9921833333333333,0.9941666666666666,1.0
12.0,0.9788083333333336,0.9954166666666666,1.0
13.0,0.9909083333333334,0.9952083333333334,1.0
14.0,0.9826250000000001,0.9941666666666666,1.0
15.0,0.9726166666666667,0.9950000000000001,1.0
16.0,0.9924416666666667,0.99625,1.0
17.0,0.9903583333333333,0.9920833333333332,1.0
18.0,0.9932166666666666,0.9960416666666667,1.0
19.0,0.9678166666666667,0.993125,0.9995833333333334
20.0,0.9799083333333333,0.9902083333333334,1.0
21.0,0.9898666666666667,0.9945833333333334,1.0
22.0,0.9935166666666666,0.9958333333333332,1.0
23.0,0.9921833333333335,0.994375,1.0
24.0,0.9939833333333332,0.9972916666666667,1.0
25.0,0.992825,0.99625,1.0
26.0,0.9922333333333334,0.9952083333333335,1.0
27.0,0.99105,0.9925,1.0
28.0,0.9910833333333333,0.9952083333333335,1.0
29.0,0.9930166666666668,0.9964583333333333,1.0
30.0,0.9937249999999999,0.9960416666666666,1.0
31.0,0.9926416666666666,0.9966666666666666,1.0
32.0,0.9915833333333332,0.9947916666666667,1.0
33.0,0.9732750000000001,0.9960416666666666,1.0
34.0,0.9902250000000001,0.9939583333333333,1.0
35.0,0.9927833333333334,0.9958333333333332,1.0
36.0,0.9917666666666668,0.9945833333333334,1.0
37.0,0.974225,0.9950000000000001,1.0
38.0,0.9946333333333334,0.996875,1.0
39.0,0.9935333333333333,0.9960416666666666,1.0
40.0,0.9852083333333332,0.995625,1.0
41.0,0.9935083333333334,0.9958333333333333,1.0
42.0,0.989925,0.9964583333333333,1.0
43.0,0.9930249999999999,0.9960416666666666,1.0
44.0,0.9747000000000001,0.9950000000000001,1.0
45.0,0.9929166666666669,0.9966666666666667,1.0
46.0,0.9955750000000001,0.996875,1.0
47.0,0.9929916666666668,0.996875,1.0
48.0,0.9938166666666668,0.9970833333333333,1.0
49.0,0.9817,0.9966666666666667,1.0
50.0,0.971775,0.99625,1.0
51.0,0.9948250000000002,0.9975,1.0
52.0,0.9960833333333334,0.9979166666666667,1.0
53.0,0.9937583333333332,0.9966666666666667,1.0
54.0,0.9892416666666667,0.99625,1.0
55.0,0.9955916666666667,0.9977083333333334,1.0
56.0,0.9787833333333333,0.9970833333333333,1.0
57.0,0.9942083333333334,0.9966666666666667,1.0
58.0,0.9773833333333335,0.9975,1.0
59.0,0.9946249999999999,0.99625,1.0
60.0,0.9954000000000001,0.9972916666666667,1.0
61.0,0.9959166666666667,0.9966666666666667,1.0
62.0,0.9750416666666666,0.9970833333333333,1.0
63.0,0.9851333333333335,0.9975,1.0
64.0,0.9959500000000001,0.9975,1.0
65.0,0.9943166666666666,0.9975,1.0
66.0,0.9787833333333333,0.9975,1.0
67.0,0.9869249999999999,0.9975,1.0
68.0,0.9769916666666667,0.996875,1.0
69.0,0.9955666666666666,0.9975,1.0
70.0,0.9952833333333334,0.996875,1.0
71.0,0.9972500000000001,0.9983333333333334,1.0
72.0,0.9762583333333333,0.9975,1.0
73.0,0.9967583333333334,0.9979166666666667,1.0
74.0,0.9952583333333334,0.9970833333333333,1.0
75.0,0.9952416666666667,0.9966666666666667,1.0
76.0,0.9955833333333333,0.9979166666666667,1.0
77.0,0.9954000000000001,0.9970833333333333,1.0
78.0,0.9957666666666667,0.9975,1.0
79.0,0.9823416666666668,0.9970833333333333,1.0
80.0,0.9925583333333334,0.9972916666666667,1.0
81.0,0.9910833333333333,0.9970833333333333,1.0
82.0,0.9953166666666666,0.9977083333333334,1.0
83.0,0.9955416666666668,0.9979166666666668,1.0
84.0,0.9955749999999999,0.9975,1.0
85.0,0.9959250000000002,0.9979166666666667,1.0
86.0,0.9953500000000001,0.9972916666666667,1.0
87.0,0.9959583333333333,0.9977083333333334,1.0
88.0,0.9930416666666667,0.9972916666666667,1.0
89.0,0.9921333333333334,0.9975,1.0
90.0,0.99595,0.9975,1.0
91.0,0.9876583333333335,0.9966666666666667,1.0
92.0,0.9952416666666667,0.996875,1.0
93.0,0.9960583333333335,0.9970833333333333,1.0
94.0,0.9944666666666667,0.9970833333333333,1.0
95.0,0.9946333333333334,0.9970833333333333,1.0
96.0,0.9950833333333332,0.9970833333333333,1.0
97.0,0.9788333333333334,0.9975,1.0
98.0,0.975925,0.9952083333333334,1.0
99.0,0.9955916666666665,0.9983333333333334,1.0
100.0,0.9836083333333333,0.9972916666666667,1.0
101.0,0.9956,0.9975,1.0
102.0,0.992575,0.9975,1.0
103.0,0.9945500000000002,0.9970833333333333,1.0
104.0,0.9961,0.9970833333333333,1.0
105.0,0.9951249999999999,0.9970833333333333,1.0
106.0,0.989425,0.9979166666666668,1.0
107.0,0.9953166666666668,0.9975,1.0
