generation,average,best,p90
124,0.960847619047619,1.0,1.0
125,0.9953428571428572,1.0,1.0
126,0.9931619047619048,1.0,1.0
127,0.9957428571428573,1.0,1.0
128,0.9779142857142857,1.0,1.0
129,0.9938857142857143,1.0,1.0
130,0.9939714285714288,1.0,1.0
131,0.9969238095238095,1.0,1.0
132,0.9927428571428571,1.0,1.0
133,0.9921238095238096,1.0,1.0
134,0.9946761904761904,1.0,1.0
135,0.9961809523809525,1.0,1.0
136,0.9924095238095237,1.0,1.0
137,0.9957428571428573,1.0,1.0
138,0.9832952380952381,1.0,1.0
139,0.989257142857143,1.0,1.0
140,0.9933714285714287,1.0,1.0
141,0.9936857142857143,1.0,1.0
142,0.9944095238095239,1.0,1.0
143,0.9957714285714284,1.0,1.0
144,0.9732380952380951,1.0,1.0
145,0.997,1.0,1.0
146,0.9842666666666665,1.0,1.0
147,0.9950857142857142,1.0,1.0
148,0.9691238095238096,1.0,1.0
149,0.9815714285714284,1.0,1.0
150,0.9846666666666668,1.0,1.0
151,0.9952190476190474,1.0,1.0
152,0.9945904761904761,1.0,1.0
153,0.9919714285714286,1.0,1.0
154,0.9951142857142856,1.0,1.0
155,0.9836476190476189,1.0,1.0
156,0.9846666666666667,1.0,1.0
157,0.9884000000000001,1.0,1.0
158,0.9703999999999999,1.0,1.0
159,0.9758285714285715,1.0,1.0
160,0.9972190476190477,1.0,1.0
161,0.9836761904761905,1.0,1.0
162,0.9851333333333333,1.0,1.0
163,0.9964761904761904,1.0,1.0
164,0.9967809523809524,1.0,1.0
165,0.9761619047619047,1.0,1.0
166,0.9967333333333331,1.0,1.0
167,0.9954857142857143,1.0,1.0
168,0.9882761904761905,1.0,1.0
169,0.9988571428571429,1.0,1.0
170,0.9775714285714285,1.0,1.0
171,0.9941238095238094,1.0,1.0
172,0.9606095238095237,1.0,1.0
173,0.9976,1.0,1.0
174,0.997752380952381,1.0,1.0
175,0.9976761904761905,1.0,1.0
176,0.9978571428571428,1.0,1.0
177,0.9906190476190477,1.0,1.0
178,0.9937333333333332,1.0,1.0
179,0.983552380952381,1.0,1.0
180,0.9940095238095238,1.0,1.0
181,0.9698380952380952,1.0,1.0
182,0.9958761904761906,1.0,1.0
183,0.9954,1.0,1.0
184,0.9716571428571429,1.0,1.0
185,0.9951428571428572,1.0,1.0
186,0.9973809523809524,1.0,1.0
187,0.9823714285714286,1.0,1.0
188,0.9721238095238095,1.0,1.0
189,0.9870285714285714,1.0,1.0
190,0.9774761904761905,1.0,1.0
191,0.997247619047619,1.0,1.0
192,0.9973238095238095,1.0,1.0
193,0.9972,1.0,1.0
194,0.9956952380952382,1.0,1.0
195,0.9978476190476192,1.0,1.0
196,0.9967333333333331,1.0,1.0
197,0.9883904761904762,1.0,1.0
198,0.9948095238095239,1.0,1.0
199,0.9762476190476191,1.0,1.0
200,0.9920095238095237,1.0,1.0
