generation,average,best,p90
153,0.9997333333333333,1.0,1.0
154,0.9785833333333334,1.0,1.0
155,1.0,1.0,1.0
156,0.9912833333333333,1.0,1.0
157,0.9994749999999999,1.0,1.0
158,0.9989333333333333,1.0,1.0
159,1.0,1.0,1.0
160,0.9966166666666666,1.0,1.0
161,1.0,1.0,1.0
162,0.9998666666666667,1.0,1.0
163,1.0,1.0,1.0
164,0.9999250000000001,1.0,1.0
165,1.0,1.0,1.0
166,0.9866333333333333,1.0,1.0
167,0.9928666666666666,1.0,1.0
168,0.9999750000000001,1.0,1.0
169,1.0,1.0,1.0
170,1.0,1.0,1.0
171,0.9997083333333333,1.0,1.0
172,0.999775,1.0,1.0
173,0.9994833333333334,1.0,1.0
174,0.9994666666666667,1.0,1.0
175,0.998825,1.0,1.0
176,0.9988583333333332,1.0,1.0
177,0.9958083333333333,1.0,1.0
178,0.9995,1.0,1.0
179,0.9998833333333333,1.0,1.0
180,0.973525,1.0,1.0
181,0.9992666666666666,1.0,1.0
182,0.99985,1.0,1.0
183,0.9990333333333333,1.0,1.0
184,0.9983166666666667,1.0,1.0
185,0.9999750000000001,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,0.9974416666666667,1.0,1.0
191,1.0,1.0,1.0
192,1.0,1.0,1.0
193,0.99525,1.0,1.0
194,0.9870583333333333,1.0,1.0
195,0.99355,1.0,1.0
196,0.9990416666666667,1.0,1.0
197,0.9917500000000001,1.0,1.0
198,0.9998,1.0,1.0
199,0.9997416666666666,1.0,1.0
200,0.9914250000000001,1.0,1.0
