generation,average,best,worst
0,0.18833333333333332,0.92875,0.005
1,0.28670833333333334,0.92875,0.02666666666666667
2,0.45060833333333333,0.92875,0.009583333333333333
3,0.49850833333333333,0.9920833333333334,0.005
4,0.6852083333333333,0.9995833333333334,0.19166666666666665
5,0.8174750000000001,0.9995833333333334,0.11125
6,0.8897666666666667,0.9995833333333334,0.27375
7,0.9791583333333334,0.9995833333333334,0.7804166666666666
8,0.9830083333333333,1.0,0.8179166666666666
9,0.9751916666666667,1.0,0.21375
10,0.9797666666666668,1.0,0.2054166666666667
11,0.9793833333333333,1.0,0.2054166666666667
12,0.9949583333333334,1.0,0.8041666666666667
13,0.9982833333333333,1.0,0.93375
14,0.994875,1.0,0.8704166666666667
15,0.9952666666666667,1.0,0.90125
16,0.994525,1.0,0.8704166666666667
17,0.99995,1.0,0.9975
18,0.9906666666666666,1.0,0.7858333333333333
19,0.9934583333333333,1.0,0.7858333333333333
20,0.9959416666666666,1.0,0.82375
21,0.9911833333333334,1.0,0.6495833333333333
22,0.99735,1.0,0.8870833333333333
23,0.9932333333333334,1.0,0.7120833333333333
24,0.9956666666666666,1.0,0.7833333333333333
25,0.9938666666666667,1.0,0.7120833333333333
26,0.99115,1.0,0.6974999999999999
27,0.9989833333333334,1.0,0.9579166666666667
28,0.9990000000000001,1.0,0.9862500000000001
29,0.9954500000000001,1.0,0.8245833333333333
30,0.9787833333333333,1.0,0.2808333333333333
31,0.990425,1.0,0.7129166666666666
32,0.9952666666666667,1.0,0.7804166666666666
33,0.9999166666666666,1.0,0.9958333333333332
34,0.99615,1.0,0.8258333333333333
35,0.9928416666666666,1.0,0.6729166666666667
36,0.9955916666666667,1.0,0.8704166666666667
37,0.9998083333333334,1.0,0.9925
38,0.9974166666666667,1.0,0.9358333333333334
39,0.9986583333333333,1.0,0.9362499999999999
40,0.9997166666666666,1.0,0.9925
41,0.9839833333333334,1.0,0.2054166666666667
42,0.99395,1.0,0.6974999999999999
43,0.9976166666666667,1.0,0.89875
44,0.9988083333333333,1.0,0.9583333333333334
45,0.9861166666666666,1.0,0.535
46,0.9939416666666666,1.0,0.7120833333333333
47,0.9999083333333333,1.0,0.9975
48,0.9928083333333333,1.0,0.6654166666666667
49,0.9955833333333334,1.0,0.8258333333333333
50,0.9820083333333334,1.0,0.2808333333333333
51,0.9996666666666667,1.0,0.9874999999999999
52,0.9997166666666666,1.0,0.9862500000000001
53,0.9934499999999999,1.0,0.8383333333333334
54,0.9959416666666666,1.0,0.8216666666666667
55,0.9952166666666666,1.0,0.82125
56,0.9976083333333334,1.0,0.8870833333333333
57,0.99905,1.0,0.9862500000000001
58,0.9939083333333333,1.0,0.7120833333333333
59,0.9854583333333333,1.0,0.2808333333333333
60,0.9819833333333334,1.0,0.2808333333333333
61,0.9980666666666668,1.0,0.9333333333333332
62,0.9847666666666668,1.0,0.2808333333333333
63,0.986375,1.0,0.7120833333333333
64,0.9890416666666667,1.0,0.7058333333333334
65,0.9906916666666666,1.0,0.7120833333333333
66,0.9905583333333334,1.0,0.8533333333333334
67,0.9970166666666667,1.0,0.8866666666666667
68,0.9930583333333334,1.0,0.8420833333333334
69,0.9900583333333333,1.0,0.7858333333333333
70,0.988075,1.0,0.7229166666666668
71,0.999825,1.0,0.9929166666666666
72,0.9995416666666667,1.0,0.9925
73,0.9982,1.0,0.9504166666666666
74,0.9841083333333333,1.0,0.2054166666666667
75,0.9817833333333332,1.0,0.2808333333333333
76,0.9881083333333334,1.0,0.6224999999999999
77,0.9985083333333332,1.0,0.9466666666666667
78,0.9956333333333334,1.0,0.8066666666666666
79,0.9896416666666668,1.0,0.6979166666666666
80,0.9960083333333333,1.0,0.8420833333333334
81,0.9995999999999999,1.0,0.9874999999999999
82,0.9999916666666667,1.0,0.9995833333333334
83,0.9933666666666667,1.0,0.8220833333333334
84,0.9994916666666667,1.0,0.98875
85,0.9830833333333334,1.0,0.7229166666666668
86,0.997325,1.0,0.8754166666666667
87,0.9990916666666666,1.0,0.9583333333333334
88,0.9776583333333333,1.0,0.2054166666666667
89,0.9988833333333333,1.0,0.9583333333333334
90,0.992575,1.0,0.8041666666666667
91,0.9893500000000001,1.0,0.6979166666666666
92,0.994025,1.0,0.8041666666666667
93,0.9997833333333334,1.0,0.99375
94,0.999875,1.0,0.99375
95,0.9998999999999999,1.0,0.995
96,0.9818000000000001,1.0,0.2808333333333333
97,0.9990000000000001,1.0,0.9554166666666667
98,0.9966916666666666,1.0,0.8866666666666667
99,0.9923166666666667,1.0,0.6224999999999999
100,0.9894166666666666,1.0,0.7120833333333333
101,0.993825,1.0,0.7120833333333333
102,0.9999833333333333,1.0,0.9991666666666666
103,0.9973083333333334,1.0,0.8808333333333334
104,0.99355,1.0,0.8266666666666667
105,0.9949166666666666,1.0,0.87
106,0.9773166666666667,1.0,0.2054166666666667
107,0.9985416666666667,1.0,0.9433333333333334
108,0.9926583333333333,1.0,0.8495833333333334
109,0.9911833333333334,1.0,0.7754166666666666
110,0.9940916666666666,1.0,0.8645833333333334
111,0.9993583333333333,1.0,0.9833333333333334
112,0.9993416666666667,1.0,0.9791666666666666
113,0.9922916666666667,1.0,0.8041666666666667
114,0.9980333333333333,1.0,0.9254166666666667
115,0.99315,1.0,0.8258333333333333
116,0.999825,1.0,0.9920833333333334
117,0.996025,1.0,0.8120833333333333
118,0.9903,1.0,0.7120833333333333
119,0.9913833333333334,1.0,0.8258333333333333
120,0.9917916666666666,1.0,0.8429166666666666
121,0.992325,1.0,0.7395833333333334
122,0.997675,1.0,0.9004166666666666
123,0.9874083333333332,1.0,0.7120833333333333
124,0.9918666666666667,1.0,0.8300000000000001
125,0.9790000000000001,1.0,0.005
126,0.9543666666666667,1.0,0.11083333333333333
127,0.9906833333333332,1.0,0.8258333333333333
128,0.9914749999999999,1.0,0.6979166666666666
129,0.999875,1.0,0.995
130,0.9855750000000001,1.0,0.74375
131,0.9924583333333333,1.0,0.7229166666666668
132,0.988275,1.0,0.8250000000000001
133,0.983775,1.0,0.2054166666666667
134,0.9991416666666666,1.0,0.9833333333333334
135,0.9896333333333334,1.0,0.87
136,0.9989666666666666,1.0,0.9583333333333334
137,0.9985083333333332,1.0,0.93125
138,0.9935583333333333,1.0,0.7275
139,0.9983166666666666,1.0,0.9400000000000001
140,0.9959250000000001,1.0,0.8041666666666667
141,0.9849666666666667,1.0,0.685
142,0.9948916666666666,1.0,0.8258333333333333
143,0.9884083333333333,1.0,0.7120833333333333
144,0.997675,1.0,0.88375
145,0.9944166666666666,1.0,0.745
146,0.9969499999999999,1.0,0.8870833333333333
147,0.9975083333333333,1.0,0.8866666666666667
148,0.9953916666666668,1.0,0.8258333333333333
149,0.9988916666666667,1.0,0.9583333333333334
150,0.9971,1.0,0.9258333333333333
151,0.9952916666666667,1.0,0.8679166666666666
152,0.9831833333333333,1.0,0.2054166666666667
153,0.9979416666666667,1.0,0.9258333333333333
154,0.9886750000000001,1.0,0.7229166666666668
155,0.9955583333333334,1.0,0.8041666666666667
156,0.9973916666666667,1.0,0.8820833333333334
157,0.98615,1.0,0.3345833333333333
158,0.9994333333333333,1.0,0.9916666666666667
159,0.9937666666666667,1.0,0.8154166666666667
160,0.9997083333333333,1.0,0.99375
161,0.999725,1.0,0.9874999999999999
162,0.99735,1.0,0.8679166666666666
163,0.995,1.0,0.87
164,0.9999166666666666,1.0,0.9979166666666667
165,0.9643666666666667,1.0,0.2054166666666667
166,0.9978,1.0,0.9087500000000001
167,1.0,1.0,1.0
168,0.9978916666666667,1.0,0.9204166666666667
169,0.9937083333333334,1.0,0.8704166666666667
170,0.9848916666666666,1.0,0.2808333333333333
171,0.9895333333333334,1.0,0.6245833333333334
172,0.9919416666666666,1.0,0.7120833333333333
173,0.9999416666666667,1.0,0.9975
174,0.9995166666666667,1.0,0.9858333333333333
175,0.9997083333333333,1.0,0.99125
176,0.9981416666666667,1.0,0.9254166666666667
177,0.9919083333333333,1.0,0.6224999999999999
178,0.9999083333333333,1.0,0.9970833333333333
179,0.9984083333333333,1.0,0.9604166666666667
180,0.9984833333333333,1.0,0.9704166666666666
181,0.9960583333333334,1.0,0.8870833333333333
182,0.999575,1.0,0.9874999999999999
183,0.975175,1.0,0.2808333333333333
184,0.998575,1.0,0.9583333333333334
185,0.9985583333333333,1.0,0.94625
186,0.98505,1.0,0.26416666666666666
187,0.9947916666666667,1.0,0.8041666666666667
188,0.9987999999999999,1.0,0.9666666666666667
189,0.9864333333333333,1.0,0.6641666666666667
190,0.9968666666666667,1.0,0.8841666666666667
191,0.987525,1.0,0.78625
192,0.9982,1.0,0.9666666666666667
193,0.9898250000000001,1.0,0.7120833333333333
194,0.9837666666666667,1.0,0.7120833333333333
195,0.9922249999999999,1.0,0.6224999999999999
196,0.9808333333333333,1.0,0.2808333333333333
197,0.9962666666666666,1.0,0.8258333333333333
198,0.9993166666666667,1.0,0.9833333333333334
199,0.9989916666666667,1.0,0.9579166666666667
