generation,average,best,worst
0,0.14417142857142856,0.8861904761904761,0.0038095238095238095
1,0.22616190476190476,0.8861904761904761,0.007142857142857143
2,0.37789523809523806,0.9366666666666666,0.018095238095238095
3,0.4749333333333333,0.9366666666666666,0.011904761904761904
4,0.6134761904761905,0.9533333333333335,0.004285714285714286
5,0.7480476190476191,0.9914285714285714,0.004285714285714286
6,0.6937714285714286,0.9914285714285714,0.004285714285714286
7,0.8066095238095238,0.9914285714285714,0.004285714285714286
8,0.7712857142857144,0.9914285714285714,0.004285714285714286
9,0.8582571428571428,0.9985714285714286,0.08380952380952382
10,0.9341714285714287,0.9990476190476191,0.28190476190476194
11,0.974152380952381,0.9990476190476191,0.6938095238095238
12,0.9880476190476191,0.9990476190476191,0.9461904761904761
13,0.9815428571428572,0.9990476190476191,0.8595238095238096
14,0.9835238095238096,0.9990476190476191,0.6652380952380953
15,0.9960571428571429,0.9990476190476191,0.9676190476190477
16,0.9952190476190477,0.9990476190476191,0.927142857142857
17,0.9984285714285714,0.9990476190476191,0.9723809523809525
18,0.9820857142857143,0.9990476190476191,0.19000000000000003
19,0.9976190476190476,0.9990476190476191,0.9652380952380953
20,0.9936857142857143,0.9990476190476191,0.8814285714285713
21,0.9969904761904762,0.9990476190476191,0.938095238095238
22,0.9978,0.9990476190476191,0.9676190476190477
23,0.9981904761904762,0.9990476190476191,0.979047619047619
24,0.9983047619047619,0.9990476190476191,0.9828571428571428
25,0.9978571428571429,0.9990476190476191,0.9523809523809524
26,0.9794095238095238,0.9990476190476191,0.19000000000000003
27,0.9987809523809524,0.9990476190476191,0.9871428571428571
28,0.9978571428571429,0.9990476190476191,0.9714285714285715
29,0.9982476190476192,0.9990476190476191,0.9714285714285715
30,0.9976190476190476,0.9990476190476191,0.9276190476190477
31,0.998847619047619,0.9990476190476191,0.9890476190476191
32,0.9987428571428572,0.9990476190476191,0.9928571428571429
33,0.9973714285714286,0.9990476190476191,0.9652380952380953
34,0.998847619047619,0.9990476190476191,0.9890476190476191
35,0.994647619047619,1.0,0.8328571428571429
36,0.9986285714285715,1.0,0.9866666666666667
37,0.9974095238095237,1.0,0.9314285714285715
38,0.9733714285714287,1.0,0.008095238095238095
39,0.9991047619047619,1.0,0.9842857142857143
40,0.9998095238095239,1.0,0.9942857142857143
41,0.9993333333333334,1.0,0.9776190476190476
42,0.9998,1.0,0.9899999999999999
43,0.9945333333333334,1.0,0.8471428571428571
44,0.9965904761904761,1.0,0.8833333333333333
45,0.9963809523809524,1.0,0.8833333333333333
46,0.999552380952381,1.0,0.9776190476190476
47,0.9988380952380952,1.0,0.9795238095238096
48,0.9968761904761905,1.0,0.9257142857142857
49,0.9992666666666666,1.0,0.969047619047619
50,0.9975619047619049,1.0,0.9614285714285714
51,0.9963619047619048,1.0,0.8471428571428571
52,0.9998190476190476,1.0,0.9942857142857143
53,0.9987333333333334,1.0,0.9704761904761905
54,0.9986190476190476,1.0,0.9704761904761905
55,0.9994285714285716,1.0,0.9833333333333334
56,0.9994666666666667,1.0,0.9838095238095238
57,0.9985142857142857,1.0,0.9257142857142857
58,0.9975428571428572,1.0,0.8971428571428571
59,0.9786571428571429,1.0,0.12333333333333334
60,0.9978952380952382,1.0,0.969047619047619
